th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,thumb_index_tip_dist,thumb_middle_tip_dist,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
25.685266494750977,2.6078603267669678,13.450141906738281,5.968063831329346,4.577456951141357,5.291286945343018,3.9530279636383057,1.7001906633377075,4.400207042694092,1.0485429763793945,3.3284378051757812,3.824104070663452,2.379734992980957,8.076508522033691,6.710572719573975,135.52394104003906,105.12052154541016,-469.6625671386719,1.6816593408584595,2.311875104904175,0.0,1,1,1,1,1,0,0
26.141338348388672,3.294862985610962,13.30841064453125,5.350543975830078,4.211850643157959,5.5068230628967285,3.970221519470215,1.7243520021438599,4.380736827850342,1.077429175376892,2.744501829147339,3.8183650970458984,1.385705828666687,7.631582736968994,6.531412601470947,128.98081970214844,112.75481414794922,-469.7342834472656,1.687445878982544,2.2985973358154297,0.0,1,1,1,1,1,0,0
26.45140838623047,3.3332064151763916,13.973858833312988,5.546506404876709,4.272528171539307,5.442594051361084,3.867086172103882,1.6716539859771729,4.465618133544922,1.133320927619934,2.927952527999878,3.7573070526123047,1.694138526916504,7.987167835235596,6.34019136428833,130.86793518066406,111.85083770751953,-469.4283447265625,1.688127875328064,2.3105692863464355,0.0,1,1,1,1,1,0,0
25.869462966918945,3.5325756072998047,13.760106086730957,5.7879557609558105,4.384014129638672,5.111664772033691,4.605193614959717,1.5288337469100952,4.3002095222473145,1.5191867351531982,3.01818585395813,4.037118911743164,2.102497100830078,7.588966369628906,6.520395755767822,128.7390899658203,109.68878173828125,-470.5259094238281,1.7060734033584595,2.324373483657837,0.0,1,1,1,1,1,0,0
26.65424156188965,2.3512420654296875,12.782857894897461,5.878965854644775,4.378546237945557,5.308128356933594,4.406946659088135,1.666409969329834,4.325679779052734,1.4740002155303955,2.7077748775482178,3.988569498062134,2.105752944946289,7.7148661613464355,6.598246097564697,125.20658874511719,110.77342987060547,-471.2245178222656,1.68874192237854,2.312932014465332,0.0,1,1,1,1,1,0,0
27.121185302734375,1.8331072330474854,12.09400463104248,5.45484733581543,4.683505058288574,5.233099460601807,5.116812705993652,1.8117742538452148,4.197178363800049,1.8878815174102783,2.6704461574554443,4.032225608825684,3.0017752647399902,7.508562088012695,6.701073169708252,115.658447265625,110.49147033691406,-473.7243347167969,1.6808236837387085,2.2962682247161865,0.0,1,1,1,1,1,0,0
27.548572540283203,2.549147129058838,14.754463195800781,6.33756160736084,4.735344886779785,4.904046058654785,5.340739727020264,2.0308573246002197,3.927119255065918,2.2411577701568604,2.808044910430908,4.0722336769104,2.925161361694336,7.28510856628418,6.948346138000488,125.04264068603516,103.31713104248047,-472.95867919921875,1.6564160585403442,2.2766237258911133,0.0,1,1,1,1,1,0,0
27.276878356933594,2.0585784912109375,15.251230239868164,5.629637241363525,4.65224027633667,4.847176551818848,5.225632190704346,1.6736007928848267,3.9326248168945312,1.646461844444275,2.910374879837036,3.919219732284546,2.2338576316833496,7.271168231964111,6.6489577293396,122.67628479003906,109.59954833984375,-472.1636047363281,1.676242470741272,2.2791430950164795,0.0,1,1,1,1,1,0,0
26.83198356628418,2.2575314044952393,13.590277671813965,5.7100725173950195,4.5770392417907715,5.131979942321777,4.912197589874268,1.6730538606643677,4.165526866912842,1.840198278427124,2.526245355606079,4.059453010559082,1.6574108600616455,7.34266996383667,6.845120906829834,125.16893005371094,111.87698364257812,-470.9737548828125,1.6547966003417969,2.266986846923828,0.0,1,1,1,1,1,0,0
26.54983901977539,1.978086233139038,13.976170539855957,6.005923748016357,4.760426998138428,4.895392417907715,5.265130043029785,1.6872142553329468,3.9654738903045654,1.7126245498657227,2.430396318435669,4.05146598815918,2.936475992202759,7.413053512573242,7.015761852264404,126.55218505859375,110.19112396240234,-471.0015563964844,1.6738733053207397,2.2901036739349365,0.0,1,1,1,1,1,0,0
